source_label,workspace,source_path,size_bytes,reason
ccwang_sibyl_system,attention-sink-comparison,/home/ccwang/sibyl-system/workspaces/attention-sink-comparison/.venv,,stat_failed:[Errno 2] No such file or directory: '/home/ccwang/sibyl-system/workspaces/attention-sink-comparison/.venv'
ccwang_sibyl_system,attention-sink-comparison,/home/ccwang/sibyl-system/workspaces/attention-sink-comparison/writing/figures/baseline_validation.png,13158,known_large_or_binary_artifact
ccwang_sibyl_system,attention-sink-comparison,/home/ccwang/sibyl-system/workspaces/attention-sink-comparison/writing/figures/experiment_1_results.png,541322,known_large_or_binary_artifact
ccwang_sibyl_system,attention-sink-comparison,/home/ccwang/sibyl-system/workspaces/attention-sink-comparison/writing/figures/experiment_2_results.png,610121,known_large_or_binary_artifact
ccwang_sibyl_system,attention-sink-comparison,/home/ccwang/sibyl-system/workspaces/attention-sink-comparison/writing/figures/experiment_3_results.png,453869,known_large_or_binary_artifact
ccwang_sibyl_system,attention-sink-comparison,/home/ccwang/sibyl-system/workspaces/attention-sink-comparison/writing/latex/paper.pdf,1831598,known_large_or_binary_artifact
ccwang_sibyl_system,dlm-improve,/home/ccwang/sibyl-system/workspaces/dlm-improve/.venv,,stat_failed:[Errno 2] No such file or directory: '/home/ccwang/sibyl-system/workspaces/dlm-improve/.venv'
ccwang_sibyl_system,dlm-improve,/home/ccwang/sibyl-system/workspaces/dlm-improve/iter_002/writing/latex/main.pdf,114550,known_large_or_binary_artifact
ccwang_sibyl_system,dlm-improve,/home/ccwang/sibyl-system/workspaces/dlm-improve/iter_002/writing/latex/figures/signal_audit_protocol.pdf,16675,known_large_or_binary_artifact
ccwang_sibyl_system,dlm-improve,/home/ccwang/sibyl-system/workspaces/dlm-improve/iter_002/exp/results/cand_bucket_pilot.json,179171,over_131072_bytes
ccwang_sibyl_system,dlm-improve,/home/ccwang/sibyl-system/workspaces/dlm-improve/iter_004/.venv,,stat_failed:[Errno 2] No such file or directory: '/home/ccwang/sibyl-system/workspaces/dlm-improve/iter_004/.venv'
ccwang_sibyl_system,dlm-improve,/home/ccwang/sibyl-system/workspaces/dlm-improve/iter_004/.agents/skills,,stat_failed:[Errno 2] No such file or directory: '/home/ccwang/sibyl-system/workspaces/dlm-improve/iter_004/.agents/skills'
ccwang_sibyl_system,dlm-improve,/home/ccwang/sibyl-system/workspaces/dlm-improve/iter_004/.codex/config.toml,,stat_failed:[Errno 2] No such file or directory: '/home/ccwang/sibyl-system/workspaces/dlm-improve/iter_004/.codex/config.toml'
ccwang_sibyl_system,dlm-improve,/home/ccwang/sibyl-system/workspaces/dlm-improve/iter_004/.codex/agents,,stat_failed:[Errno 2] No such file or directory: '/home/ccwang/sibyl-system/workspaces/dlm-improve/iter_004/.codex/agents'
