card84_correct,card84_failure_mode,card84_nfe,card84_tokens_changed,card84_vs_dnb64,card84_vs_dnb84,card84_vs_rand84,dataset,difficulty_bucket,dnb64_correct,dnb64_failure_mode,dnb64_nfe,dnb64_tokens_changed,dnb84_correct,dnb84_failure_mode,dnb84_nfe,dnb84_tokens_changed,dnb84_vs_dnb64,prompt_length,rand84_correct,rand84_failure_mode,rand84_nfe,rand84_tokens_changed,rand84_vs_dnb64,sample_id,selection_reason
0,,68,2,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,150,0,,67,0,unchanged_wrong,gsm8k_test_1176,top_entropy_prescan
1,,68,1,fixed,fixed,fixed,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,57,0,,67,0,unchanged_wrong,gsm8k_test_0143,top_entropy_prescan
0,,68,0,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,57,0,,67,0,unchanged_wrong,gsm8k_test_0002,top_entropy_prescan
1,,68,2,unchanged_correct,fixed,unchanged_correct,gsm8k,high_entropy,1,,64,0,0,,83,0,harmed,51,1,,67,0,unchanged_correct,gsm8k_test_0616,top_entropy_prescan
0,,68,13,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,97,0,,67,0,unchanged_wrong,gsm8k_test_1122,top_entropy_prescan
0,,68,1,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,78,0,,67,1,unchanged_wrong,gsm8k_test_0297,top_entropy_prescan
0,,68,17,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,94,0,,67,0,unchanged_wrong,gsm8k_test_0015,top_entropy_prescan
0,,68,5,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,115,0,,67,0,unchanged_wrong,gsm8k_test_0107,top_entropy_prescan
0,,68,2,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,90,0,,67,0,unchanged_wrong,gsm8k_test_0275,top_entropy_prescan
1,,68,2,unchanged_correct,fixed,unchanged_correct,gsm8k,high_entropy,1,,64,0,0,,83,0,harmed,82,1,,67,0,unchanged_correct,gsm8k_test_0811,top_entropy_prescan
0,,68,2,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,42,0,,67,0,unchanged_wrong,gsm8k_test_1184,top_entropy_prescan
1,,68,1,unchanged_correct,fixed,unchanged_correct,gsm8k,high_entropy,1,,64,0,0,,83,0,harmed,70,1,,67,0,unchanged_correct,gsm8k_test_0479,top_entropy_prescan
1,,68,1,unchanged_correct,fixed,unchanged_correct,gsm8k,high_entropy,1,,64,0,0,,83,0,harmed,41,1,,67,0,unchanged_correct,gsm8k_test_0280,top_entropy_prescan
1,,68,2,unchanged_correct,fixed,unchanged_correct,gsm8k,high_entropy,1,,64,0,0,,83,0,harmed,49,1,,67,0,unchanged_correct,gsm8k_test_0896,top_entropy_prescan
0,,68,1,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,73,0,,67,0,unchanged_wrong,gsm8k_test_0608,top_entropy_prescan
0,,68,11,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,69,0,,67,0,unchanged_wrong,gsm8k_test_0588,top_entropy_prescan
1,,68,1,unchanged_correct,unchanged_correct,unchanged_correct,gsm8k,high_entropy,1,,64,0,1,,83,0,unchanged_correct,53,1,,67,1,unchanged_correct,gsm8k_test_0364,top_entropy_prescan
0,,68,1,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,98,0,,67,0,unchanged_wrong,gsm8k_test_0770,top_entropy_prescan
0,,68,2,unchanged_wrong,harmed,unchanged_wrong,gsm8k,high_entropy,0,,64,0,1,,83,0,fixed,42,0,,67,0,unchanged_wrong,gsm8k_test_0463,top_entropy_prescan
0,,68,0,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,89,0,,67,0,unchanged_wrong,gsm8k_test_0945,top_entropy_prescan
0,,68,0,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,65,0,,67,0,unchanged_wrong,gsm8k_test_0537,top_entropy_prescan
0,,68,1,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,67,0,,67,0,unchanged_wrong,gsm8k_test_0356,top_entropy_prescan
1,,68,0,unchanged_correct,fixed,unchanged_correct,gsm8k,high_entropy,1,,64,0,0,,83,0,harmed,50,1,,67,0,unchanged_correct,gsm8k_test_1191,top_entropy_prescan
0,,68,12,unchanged_wrong,unchanged_wrong,unchanged_wrong,gsm8k,high_entropy,0,,64,0,0,,83,0,unchanged_wrong,54,0,,67,0,unchanged_wrong,gsm8k_test_0709,top_entropy_prescan
