dataset,comparison,transition,count
gsm8k,card84_vs_dnb64,fixed,1
gsm8k,card84_vs_dnb64,harmed,0
gsm8k,card84_vs_dnb64,unchanged_correct,15
gsm8k,card84_vs_dnb64,unchanged_wrong,34
gsm8k,card84_vs_dnb84,fixed,10
gsm8k,card84_vs_dnb84,harmed,3
gsm8k,card84_vs_dnb84,unchanged_correct,6
gsm8k,card84_vs_dnb84,unchanged_wrong,31
gsm8k,card84_vs_rand84,fixed,1
gsm8k,card84_vs_rand84,harmed,0
gsm8k,card84_vs_rand84,unchanged_correct,15
gsm8k,card84_vs_rand84,unchanged_wrong,34
gsm8k,dnb84_vs_dnb64,fixed,3
gsm8k,dnb84_vs_dnb64,harmed,9
gsm8k,dnb84_vs_dnb64,unchanged_correct,6
gsm8k,dnb84_vs_dnb64,unchanged_wrong,32
gsm8k,rand84_vs_dnb64,fixed,0
gsm8k,rand84_vs_dnb64,harmed,0
gsm8k,rand84_vs_dnb64,unchanged_correct,15
gsm8k,rand84_vs_dnb64,unchanged_wrong,35
mbpp,card84_vs_dnb64,fixed,0
mbpp,card84_vs_dnb64,harmed,0
mbpp,card84_vs_dnb64,unchanged_correct,2
mbpp,card84_vs_dnb64,unchanged_wrong,48
mbpp,card84_vs_dnb84,fixed,1
mbpp,card84_vs_dnb84,harmed,0
mbpp,card84_vs_dnb84,unchanged_correct,1
mbpp,card84_vs_dnb84,unchanged_wrong,48
mbpp,card84_vs_rand84,fixed,0
mbpp,card84_vs_rand84,harmed,0
mbpp,card84_vs_rand84,unchanged_correct,2
mbpp,card84_vs_rand84,unchanged_wrong,48
mbpp,dnb84_vs_dnb64,fixed,0
mbpp,dnb84_vs_dnb64,harmed,1
mbpp,dnb84_vs_dnb64,unchanged_correct,1
mbpp,dnb84_vs_dnb64,unchanged_wrong,48
mbpp,rand84_vs_dnb64,fixed,0
mbpp,rand84_vs_dnb64,harmed,0
mbpp,rand84_vs_dnb64,unchanged_correct,2
mbpp,rand84_vs_dnb64,unchanged_wrong,48
