letter,feature_id,absorption_rate,conditional_rate,n_total,n_absorbed,n_main_fired,cosine_similarity
A,6690,0.0000,0.0000,15,0,15,0.5575
B,26945,0.0000,0.0000,15,0,15,0.5238
C,30796,0.0000,0.0000,15,0,15,0.5048
D,21243,0.0000,0.0000,15,0,15,0.4994
E,15212,0.0000,0.0000,15,0,15,0.4968
F,28191,0.0000,0.0000,15,0,15,0.4951
G,7249,0.0000,0.0000,15,0,15,0.4807
H,26933,0.0000,0.0000,15,0,15,0.4427
I,8414,0.0000,0.0000,15,0,15,0.4241
J,26672,0.0000,0.0000,15,0,15,0.3994
K,15710,0.0000,0.0000,15,0,15,0.3247
L,22894,1.0000,1.0000,15,15,0,0.3107
M,29025,0.0000,0.0000,15,0,15,0.2888
N,21427,1.0000,1.0000,15,15,0,0.2484
O,13602,1.0000,1.0000,15,15,0,0.2311
P,24565,1.0000,1.0000,15,15,0,0.2307
Q,9228,1.0000,1.0000,15,15,0,0.2235
R,15557,0.0000,0.0000,15,0,15,0.2074
S,11119,1.0000,1.0000,15,15,0,0.1939
T,12734,1.0000,1.0000,15,15,0,0.1746
U,6690,0.0000,0.0000,15,0,15,0.5575
V,6690,0.0000,0.0000,15,0,15,0.5575
W,6690,0.0000,0.0000,15,0,15,0.5575
X,6690,0.0000,0.0000,15,0,15,0.5575
Y,6690,0.0000,0.0000,15,0,15,0.5575
Z,6690,0.0000,0.0000,15,0,15,0.5575
