letter,feature_id,absorption_rate,conditional_rate,n_total,n_absorbed,n_main_fired,cosine_similarity
A,25906,0.0000,0.0000,10,0,10,0.4158
B,26248,1.0000,1.0000,10,10,0,0.2960
C,20325,0.0000,0.0000,10,0,0,0.2508
D,14812,1.0000,1.0000,10,10,0,0.2471
E,1963,0.0000,0.0000,10,0,0,0.2277
F,4472,0.0000,0.0000,10,0,0,0.2130
G,29541,0.0000,0.0000,10,0,10,0.2088
H,9855,0.0000,0.0000,10,0,0,0.2007
I,16926,1.0000,1.0000,10,10,0,0.1965
J,28018,1.0000,1.0000,10,10,0,0.1964
K,17887,0.0000,0.0000,10,0,10,0.1896
L,5765,1.0000,1.0000,10,10,0,0.1888
M,15864,0.0000,0.0000,10,0,0,0.1798
N,4685,0.0000,0.0000,10,0,0,0.1775
O,31172,0.0000,0.0000,10,0,0,0.1652
P,9502,0.0000,0.0000,10,0,0,0.1624
Q,32729,0.0000,0.0000,10,0,10,0.1601
R,22320,1.0000,1.0000,10,10,0,0.1584
S,12604,0.0000,0.0000,10,0,0,0.1449
T,4309,1.0000,1.0000,10,10,0,0.1430
U,25906,0.0000,0.0000,10,0,10,0.4158
V,25906,0.0000,0.0000,10,0,10,0.4158
W,25906,0.0000,0.0000,10,0,10,0.4158
X,25906,0.0000,0.0000,10,0,10,0.4158
Y,25906,0.0000,0.0000,10,0,10,0.4158
Z,25906,0.0000,0.0000,10,0,10,0.4158
