[2026-04-11T16:09:27 poll=1] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T16:14:28 poll=2] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T16:19:28 poll=3] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T16:24:28 poll=4] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T16:29:28 poll=5] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T16:34:28 poll=6] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T16:39:28 poll=7] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T16:44:28 poll=8] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T16:49:29 poll=9] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T16:54:29 poll=10] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T16:59:29 poll=11] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T17:04:29 poll=12] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T17:09:29 poll=13] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T17:14:29 poll=14] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T17:19:30 poll=15] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T17:24:30 poll=16] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T17:29:30 poll=17] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T17:34:30 poll=18] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T17:39:30 poll=19] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T17:44:30 poll=20] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T17:49:30 poll=21] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T17:54:31 poll=22] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T17:59:31 poll=23] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T18:04:31 poll=24] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T18:09:31 poll=25] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T18:14:31 poll=26] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T18:19:31 poll=27] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T18:24:31 poll=28] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T18:29:32 poll=29] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
[2026-04-11T18:34:32 poll=30] full_m1_pareto=ALIVE:932151 (5/100 @5.564521) | full_igsd_pareto=ALIVE:964696 (5/100 @2.965949)
